source,detention_facility_code,name,address_full,address,city,state,latitude,longitude,zip,n_codings
hold,DSMHOLD,Des Moines Hold Room,"210 Walnut St. Suite 359, Des Moines, Ia 50309",210 Walnut St. Suite 359,Des Moines,IA,41.58651404,-93.62024201,50309,5
team-geocoding,VBHOSTX,Valley Baptist Hospital,"2101 Pease St, Harlingen, TX 78550",2101 Pease St,Harlingen,TX,26.17445998,-97.67072497,78550,2
team-geocoding,OAK,Oakdale Federal Detention Center,"2105 E. Whatley Rd., Oakdale, LA 71463",2105 E. Whatley Rd.,Oakdale,LA,30.82081998,-92.642909,71463,4
team-geocoding,AZSPPER,Perryville State Prison,"2105 North Citrus Rd, Goodyear, AZ 85395",2105 North Citrus Rd,Goodyear,AZ,33.47137516,-112.4421715,85395,6
hold,RIIHOLD,Rock Island Hold Room,"211 19th Street, Rock Island, Il 61201",211 19th Street,Rock Island,IL,41.51069591,-90.57292064,61201,4
team-geocoding,GUDOCHG,"Guam Department of Corrections, Hagatna Detention Facility","211 Aspinall Ave, Hagatna, GU 96910",211 Aspinall Ave,Hagatna,GU,13.4743782,144.7501207,96910,3
hold,EUGHOLD,Eugene Hold Room,"211 East 7th Avenue Suite 120, Eugene, Or 97401",211 East 7th Avenue Suite 120,Eugene,OR,44.05267406,-123.0893703,97401,3
team-geocoding,SMNOLFL,John E. Polk Correctional Facility,"211 Eslinger Way, Sanford, FL 32773",211 Eslinger Way,Sanford,FL,28.74779273,-81.29824922,32773,3
hold,TFIHOLD,Twin Falls Hold Room,"212 Deere Street, Twin Falls, Id 83301",212 Deere Street,Twin Falls,ID,42.5461324,-114.4277209,83301,2
team-geocoding,BEDCITX,Bedford City Jail,"2121 L Don Dodson Drive, Bedford, TX 76021",2121 L Don Dodson Drive,Bedford,TX,32.8421008,-97.13128261,76021,4
hold,BSCHOLD,Big Spring Hold Room,"2137-2077 W 16th St, Big Spring, TX",2137-2077 W 16th St,Big Spring,TX,32.23300795,-101.4953538,79720,3
team-geocoding,GCLECOK,Grady County Law Enforcement Center,"215 N 3rd St., Chickasha, OK 73018",215 N 3rd St.,Chickasha,OK,35.05318999,-97.93638,73018,2
team-geocoding,MESJACO,Mesa County Jail,"215 Rice Street, Grand Junction, CO 81501",215 Rice Street,Grand Junction,CO,39.0686798,-108.5735786,81501,4
hold,CNGHOLD,Chattanooga Hold Room,"2150 Stein Drive, Chattanooga, Tn 37421",2150 Stein Drive,Chattanooga,TN,35.05620303,-85.1845245,37421,4
team-geocoding,LOGANOK,Logan County Jail,"216 S Broad St, Guthrie, OK 73044",216 S Broad St,Guthrie,OK,35.87625303,-97.4223618,73044,2
team-geocoding,DODGEWI,Dodge Detention Facility,"216 W. Center Street, Juneau, WI 53039",216 W. Center Street,Juneau,WI,43.40726386,-88.70645613,53039,3
team-geocoding,KODIAAK,Kodiak City Jail,"2160 Mill Bay Rd, Kodiak, AK 99615",2160 Mill Bay Rd,Kodiak,AK,57.80475301,-152.3726919,99615,6
team-geocoding,SUMTEFL,Sumter County Jail,"219 East Anderson Ave, Bushnell, FL 33513",219 East Anderson Ave,Bushnell,FL,28.66270266,-82.10976288,33513,2
team-geocoding,HAILEID,Dale G Haile Detention Center,"219 N 12th Ave, Caldwell, ID 83605",219 N 12th Ave,Caldwell,ID,43.66575656,-116.6809993,83605,2
new,AMHERVA,Amherst County Jail,"219 South Riverview Road, Madison Heights, VA 24572",219 South Riverview Road,Madison Heights,VA,37.40853902,-79.09350065,24572,3
team-geocoding,NVSDCNV,Nevada Southern Detention Center,"2190 E Mesquite Avenue, Pahrump, NV 89060",2190 E Mesquite Avenue,Pahrump,NV,36.25245773,-115.977029,89060,3
team-geocoding,UNMEDMD,Univ of Maryland Medical Center,"22 S Greene St, Baltimore, MD 21201",22 S Greene St,Baltimore,MD,39.28810428,-76.62472205,21201,3
team-geocoding,DORCDSC,Dorchester County Detention Center,"220 Hodge Road, Summerville, SC 29483",220 Hodge Road,Summerville,SC,33.05753131,-80.22068583,29483,4
team-geocoding,CLARKIA,Clarke County Sheriff,"220 Townline Rd, Osceola, IA 50213",220 Townline Rd,Osceola,IA,41.04467609,-93.76335286,50213,5
team-geocoding,PVHOSIN,Parkview Hospital Randallia,"2200 Randallia Drive, Fort Wayne, IN 46805",2200 Randallia Drive,Fort Wayne,IN,41.09570202,-85.10979799,46805,4
team-geocoding,KANDIMN,Kandiyohi County Jail,"2201 23rd St. Ne, Willmar, MN 56201",2201 23rd St. Ne,Willmar,MN,45.14587401,-95.01397397,56201,3
team-geocoding,NUMCENY,Nassau Univ Medical Center,"2201 Hempstead Turnpike, East Meadow, NY 11554",2201 Hempstead Turnpike,East Meadow,NY,40.72641896,-73.55334328,11554,3
hold,MCAHOLD,McAllen Hold Room,"2202 Cornerstone Blvd, Edinburg, Tx 78539",2202 Cornerstone Blvd,Edinburg,TX,26.2639474,-98.1981895,78539,5
team-geocoding,UNMHANM,University of New Mexico Hospital,"2211 Lomas Blvd Ne, Albuquerque, NM 87106",2211 Lomas Blvd Ne,Albuquerque,NM,35.08786337,-106.6185127,87106,2
team-geocoding,MEHOSCA,Mercy Hospital Downtown Bakersfield,"2215 Truxtun Ave, Bakersfield, CA 93301",2215 Truxtun Ave,Bakersfield,CA,35.37279812,-119.0276222,93301,5
team-geocoding,CLARKID,Clark County Jail (ID),"224 W Main St, Dubois, ID 83423",224 W Main St,Dubois,ID,44.1766347,-112.232917,83423,3
team-geocoding,CCANOOH,Northeast Ohio Correctional Center,"2240 Hubbard Road, Youngstown, OH 44505",2240 Hubbard Road,Youngstown,OH,41.13134916,-80.63152281,44505,4
team-geocoding,TRRMCNJ,Trinitas Regional Medical Center,"225 Williamson St, Elizabeth, NJ 07202",225 Williamson St,Elizabeth,NJ,40.65906601,-74.21475004,7202,3
team-geocoding,HPKNSKY,Hopkins County Jail,"2250 Laffoon Trl, Madisonville, KY 42431",2250 Laffoon Trl,Madisonville,KY,37.33759615,-87.53993367,42431,4
team-geocoding,ELMORID,Elmore County Detention Center (Elmore County Jail),"2255 East 8th North, Mountain Home, ID 83647",2255 East 8th North,Mountain Home,ID,43.13685038,-115.6731791,83647,3
team-geocoding,CACTYCA,California City Detention Facility,"22844 Virginia Boulevard, California City, CA 93505",22844 Virginia Boulevard,California City,CA,35.15290316,-117.8589979,93505,2
team-geocoding,EPCPCTX,EGP CPC Holding,"2285 Del Rio Blvd, Eagle Pass, TX 78852",2285 Del Rio Blvd,Eagle Pass,TX,28.73532285,-100.4970642,78852,4
team-geocoding,HHCHKTX,Houston Healthcare Hospital,"22999 Us-59n, Kingwood, TX 77339",22999 Us-59n,Kingwood,TX,30.04814462,-95.25505479,77339,4
team-geocoding,MILLRAR,Miller County Jail,"2300 East Street, Texarkana, AR 71854",2300 East Street,Texarkana,AR,33.40116926,-94.02247496,71854,3
team-geocoding,STJHCCA,St John's Hospital Camarillo,"2309 Antonio Ave, Camarillo, CA 93010",2309 Antonio Ave,Camarillo,CA,34.24360246,-119.0203184,93010,4
team-geocoding,NEMCCOI,McCook ICE Igsa,"2309 Us-83 N, Mccook, NE 69001",2309 Us-83 N,Mccook,NE,40.22811415,-100.6484457,69001,2
team-geocoding,XXMCCOO,McCook Detention Center,"2309 US-83 N, Mccook, NE 69001",2309 US-83 N,Mccook,NE,40.22814664,-100.648867,69001,4
hold,CHMHOLD,Champlain Hold Room,"237 West Service Road Room Cb 107, Unit 8, Champlain, Ny 12919","237 West Service Road Room Cb 107, Unit 8",Champlain,NY,45.00655616,-73.45333856,12919,3
team-geocoding,NNVMCNV,Northern Nevada Medical Center,"2375 E Prater Way, Sparks, NV 89434",2375 E Prater Way,Sparks,NV,39.54110713,-119.697335,89434,3
team-geocoding,POLKJFL,Polk County Jail,"2390 Bob Philips Road, Bartow, FL 33830",2390 Bob Philips Road,Bartow,FL,27.88139844,-81.81927419,33830,3
team-geocoding,PVLYHCA,Paradise Valley Hospital,"2400 E 4th St, National City, CA 91950",2400 E 4th St,National City,CA,32.68540972,-117.0823869,91950,4
team-geocoding,BOPLEW,Federal Correctional Institution Lewisburg,"2400 Robert F. Miller Drive, Lewisburg, PA 17837",2400 Robert F. Miller Drive,Lewisburg,PA,40.98668294,-76.91495825,17837,4
team-geocoding,YRMDCAZ,Yuma Regional Medical Center,"2400 S Avenue A, Yuma, AZ 85364",2400 S Avenue A,Yuma,AZ,32.68316965,-114.6334572,85364,3
hold,PDNHOLD,Pdn Hold Room,"2401 Dodson Avenue, Del Rio, Tx 78840",2401 Dodson Avenue,Del Rio,TX,29.39287859,-100.8987698,78840,3
team-geocoding,BOPSET,Seatac Federal Detention Center,"2425 S. 200th Street, Seatac, WA 98198",2425 S. 200th Street,Seatac,WA,47.42197684,-122.3015451,98198,4
hold,OGUHOLD,Ogden Hold Room,"2487 S. 1620 W Unit E, Ogden, Ut 84401",2487 S. 1620 W Unit E,Ogden,UT,41.22058827,-112.0191589,84401,3
team-geocoding,CLICONY,Clinton County Jail,"25 Mccarthy Drive, Plattsburgh, NY 12901",25 Mccarthy Drive,Plattsburgh,NY,44.7200284,-73.46672469,12901,4
team-geocoding,ROCKIVA,Rockingham County Jail,"25 South Liberty Street, Harrisonburg, VA 22801",25 South Liberty Street,Harrisonburg,VA,38.44929957,-78.87077907,22801,4
hold,BUFHOLD,Buffalo Hold Room,"250 Delaware Avenue 7th Floor, Buffalo, Ny 14202",250 Delaware Avenue 7th Floor,Buffalo,NY,42.89129675,-78.87687255,14202,3
team-geocoding,MONTGAL,Montgomery County Mac Sim Butler Detention Facility,"250 Mcdonough Street, Montgomery, AL 36103",250 Mcdonough Street,Montgomery,AL,32.37440645,-86.30508269,36103,4
hold,MGAHOLD,Montgomery Hold Room,"250 S Mcdonough St, Montgomery, Al 36104",250 S Mcdonough St,Montgomery,AL,32.37440645,-86.30508269,36104,3
team-geocoding,CCRMCCA,Contra Costa Regional Medical Center,"2500 Alhambra Ave, Martinez, CA 94553",2500 Alhambra Ave,Martinez,CA,38.00656485,-122.1329147,94553,3
team-geocoding,UBRKHWV,Wvu Medicine Berkeley Medical Center,"2500 Hospital Dr, Martinsburg, WV 25401",2500 Hospital Dr,Martinsburg,WV,39.47649468,-77.98042649,25401,4
team-geocoding,ECLECTX,Ector County LEC,"2500 S Hwy 385, Odessa, TX 79762",2500 S Hwy 385,Odessa,TX,31.82035687,-102.3584451,79762,3
team-geocoding,VIRBEVA,Virginia Beach Corrections Center,"2501 James Madison Boulevard, Virginia Beach, VA 23456",2501 James Madison Boulevard,Virginia Beach,VA,36.75324963,-76.06190081,23456,4
team-geocoding,SCOTTNE,Scotts Bluff County Jail,"2522 7th St, Gering, NE 69341",2522 7th St,Gering,NE,41.83622545,-103.6548715,69341,4
team-geocoding,FLOYDGA,Floyd County Jail,"2526 New Calhoun Hwy, Rome, GA 30161",2526 New Calhoun Hwy,Rome,GA,34.28002514,-85.14154059,30161,3
