idnInmate	Strcity	Strcode	Strdescription	datCreatedOn	datModifiedOn	blnActive
67	ATL	POL	POLK CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
68	ATL	PON	INSTITUCION REGIONAL DEL SUR	2003-08-10 11:23:16.927		0
1724	ATL	POR	PORTSMOUTH CITY JAIL                              	2005-03-05 14:50:58.890		1
1725	ATL	POW	POWHATAN CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
1726	ATL	PRI	ADMINISTRATION OF CORRECTIONS/PUERTO RICO         	2005-03-05 14:50:58.890		1
69	ATL	PRY	PERRY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1727	ATL	PUL	PULASKI                                           	2005-03-05 14:50:58.890		1
1728	ATL	PWC	PRINCE WILLIAM COUNTY ADC                         	2005-03-05 14:50:58.890		1
1729	ATL	PYO	POLK YOUTH INSTITUTION                            	2005-03-05 14:50:58.890		1
70	ATL	QUO	PASQUOTANK C.I.	2003-08-10 11:23:16.927		0
71	ATL	RAN	RANDOLPH CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
72	ATL	RCC	ROCKINGHAM CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
73	ATL	RCW	RALEIGH CORRECTIONAL CENTER FOR WOMEN	2003-08-10 11:23:16.927		0
74	ATL	RDG	RIDGELAND CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
75	ATL	RID	RIDGELAND CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
76	ATL	RIO	STATE PENITENTIARY	2003-08-10 11:23:16.927		0
1730	ATL	ROB	ROBESON CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
1731	ATL	ROC	C/O SCI ROCKVIEW                                  	2005-03-05 14:50:58.890		1
1732	ATL	ROG	ROGERS CORRECTIONAL INSTITUTION                   	2005-03-05 14:50:58.890		1
77	ATL	RTD	RUTHERFORD CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
78	ATL	RUT	RUTLEDGE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1733	ATL	SAB	SABANA HOYOS CAMP                                 	2005-03-05 14:50:58.890		1
1734	ATL	SAC	SANFORD CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
79	ATL	SAL	ROWAN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
80	ATL	SAM	SAMPSON CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1735	ATL	SAN	SANDHILLS YOUTH CENTER                            	2005-03-05 14:50:58.890		1
81	ATL	SCC	SAMPSON CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
82	ATL	SCI	SUMTER COUNTY CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		1
1736	ATL	SCT	SCOTT CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
1737	ATL	SFD	SANFORD CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
1738	ATL	SHA	SCI COAL TOWNSHIP                                 	2005-03-05 14:50:58.890		1
1739	ATL	SMI	SMITH CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
1740	ATL	SOC	SOUTH CAROLINA DEPT OF CORRECTIONS                	2005-03-05 14:50:58.890		1
1741	ATL	SOT	SOUTHERN CORRECTIONAL INST.                       	2005-03-05 14:50:58.890		1
83	ATL	SOU	SOUTHERN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
84	ATL	STA	STANLY COUNTY JAIL	2003-08-10 11:23:16.927		1
1742	ATL	STB	ST. BRIDES CORRECTIONAL CENTER                    	2005-03-05 14:50:58.890		1
85	ATL	STO	STOKES CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1743	ATL	SUM	SUMTER CITY CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
1744	ATL	SYL	FCI. SCHYKLILL                                    	2005-03-05 14:50:58.890		1
86	ATL	TDG	FCI, TALLADEGA	2003-08-10 11:23:16.927		0
1745	ATL	TEL	TELFAIR CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
87	ATL	TER	TERRELL CO. CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1746	ATL	TIL	TILLERY CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
88	ATL	TRI	TRIANGLE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
89	ATL	TRO	TROUP COUNTY C.I.	2003-08-10 11:23:16.927		0
90	ATL	TUR	TURBEVILLE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1747	ATL	UMS	UMSTEAD CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
1748	ATL	VAN	VANCE CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
91	ATL	VCI	VALDOSTA CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		1
1749	ATL	VSP	VIRGINIA STATE PENITENTIARY                       	2005-03-05 14:50:58.890		1
92	ATL	WAK	WAKE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1750	ATL	WAL	WALKER CORRECTIONAL INSTITUTION                   	2005-03-05 14:50:58.890		1
93	ATL	WAR	WARE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
1751	ATL	WAT	WATERBEE CORRECTIONAL INSTITUTION                 	2005-03-05 14:50:58.890		1
94	ATL	WAY	WAYNE CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		1
95	ATL	WCC	WOMEN'S CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1752	ATL	WCI	WOMRN'S CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
96	ATL	WCP	WEST CENTRAL PRISON	2003-08-10 11:23:16.927		0
1753	ATL	WDC	WILLIAM DONALDSON CORRECTIONAL FACILITY           	2005-03-05 14:50:58.890		1
97	ATL	WES	WESTERN YOUTH INSTITUTION	2003-08-10 11:23:16.927		0
98	ATL	WHI	WHITEVILLE PRISON UNIT	2003-08-10 11:23:16.927		0
1754	ATL	WIL	WILCOX C.I.                                       	2005-03-05 14:50:58.890		1
99	ATL	WLD	WALDEN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
100	ATL	WLK	WILKES CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1755	ATL	WNE	WAYNE CORRECTIONAL                                	2005-03-05 14:50:58.890		1
101	ATL	WOM	NC CORR. INSTITUTION FOR WOMEN	2003-08-10 11:23:16.927		1
102	ATL	WRE	WATEREE RIVER C.I.	2003-08-10 11:23:16.927		0
103	ATL	WRN	WARREN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1756	ATL	WSH	WASHINGTON CORRECTIONAL INSTITUTE                 	2005-03-05 14:50:58.890		1
104	ATL	YAD	YADKIN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1757	ATL	YDC	YOUTH CENTER, DISTRICT OF COLUMBIA                	2005-03-05 14:50:58.890		1
1758	ATL	YKN	YADKIN CORRECTIONAL CENTER                        	2005-03-05 14:50:58.890		1
105	BAL	ADI	ADIRONDACK CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
106	BAL	AKL	ARTHUR KILL CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
107	BAL	ALB	*SCI-ALBION CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		1
108	BAL	ALD	ALDERSON FEDERAL CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
109	BAL	ALT	ALTONA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
110	BAL	ALW	WARDEN	2003-08-10 11:23:16.927		1
111	BAL	ATT	ATTICA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
112	BAL	AUB	AUBURN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
113	BAL	AXJ	MARYLAND CORRECTIONAL INSTITUTE ANNEX AT JESSUP	2003-08-10 11:23:16.927		1
114	BAL	BAR	BARE HILL CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
115	BAL	BAY	BAYVIEW CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
116	BAL	BEA	CAMP BEACON	2003-08-10 11:23:16.927		0
117	BAL	BED	BEDFORD HILLS CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		1
118	BAL	BRO	BROCKBRIDGE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		1
119	BAL	BUC	BUCKINGHAM CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		1
120	BAL	BUT	BUTLER SHOCK INCARCERATION FACILITY	2003-08-10 11:23:16.927		0
121	BAL	CAM	CAMP GABRIELS	2003-08-10 11:23:16.927		0
122	BAL	CAY	CAYUGA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
123	BAL	CGT	CAMP GEORGETOWN	2003-08-10 11:23:16.927		0
124	BAL	CHA	CHATEAUGAY ASACTC	2003-08-10 11:23:16.927		0
125	BAL	CLI	CLINTON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
126	BAL	CMT	MONTEREY SHOCK INCARCERATION FACILITY	2003-08-10 11:23:16.927		0
127	BAL	COL	COLLINS CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
128	BAL	COX	COXSACKIE CORRECTIOANL FACILITY	2003-08-10 11:23:16.927		0
129	BAL	CPH	CAMP PHARSALIA	2003-08-10 11:23:16.927		0
130	BAL	CSU	SUMMIT SHOCK INCARCERATION FACILITY	2003-08-10 11:23:16.927		0
131	BAL	CVI	CAPE VINCENT CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
132	BAL	DCY	YORK COUNTY PRISON	2003-08-10 11:23:16.927		1
133	BAL	DOW	DOWNSTATE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
134	BAL	EAS	EASTERN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
135	BAL	ECI	EASTERN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
136	BAL	EDG	EDGECOMBE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
137	BAL	ELM	ELMIRA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
138	BAL	ESG	EDGECOMBE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
139	BAL	FIS	FISHKILL CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
140	BAL	FRA	FRANKLIN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
141	BAL	FUL	FULTON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
142	BAL	GHN	GREEN HAVEN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
143	BAL	GMW	GREAT MEADOW CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
144	BAL	GOU	GOUVERNEUR CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
145	BAL	GOW	GOWANDA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		1
146	BAL	GRE	GREENE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
147	BAL	GRO	GROVELAND CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
148	BAL	HAL	HALE CREEK CORRECTIONAL FAC.	2003-08-10 11:23:16.927		1
149	BAL	HCC	HALE CREEK ASACTC	2003-08-10 11:23:16.927		0
150	BAL	HUD	HUDSON  CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
151	BAL	JOH	JOHNSTOWN ASACTC	2003-08-10 11:23:16.927		0
152	BAL	LAK	LAKEVIEW SHOCK INCARCERATION FACILITY	2003-08-10 11:23:16.927		0
153	BAL	LIN	LINCOLN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
154	BAL	LIV	LIVINGSTON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
155	BAL	LOR	LORTON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
156	BAL	LYO	LYONS MOUNTAIN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
157	BAL	MAR	MARCY CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
158	BAL	MCG	MT MCGREGER CAMP	2003-08-10 11:23:16.927		0
159	BAL	MCH	MARYLAND CORRECTIONAL INSTITUTION--HAGERSTOWN	2003-08-10 11:23:16.927		1
