NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
JOSEPHINE CO. JAIL,GRANTS PASS,OR,97526,SEA,IGSA,7,24
SEBASTIAN COUNTY DET CNT,FT. SMITH,AR,72901,NOL,IGSA,6,23
BLOUNT COUNTY JUSTICE CTR,MARYVILLE,TN,37801,NOL,IGSA,5,23
MORGAN COUNTY JAIL,FT. MORGAN,CO,80701,DEN,IGSA,5,18
BUTNER FED CORR.INST.,BUTNER,NC,27509,ATL,BOP,4,0
ST JEROME'S GROUP HOME,HOUSTON,TX,77058,HOU,IGSA,4,0
SILVERDALE/HAMILTON COUNTY,CHATTANOOGA,TN,37421,NOL,IGSA,4,23
JEFFERSON COUNTY JAIL,BOULDER,MT,59632,SLC,IGSA,3,13
HAMILTON CO. JAIL (TENN),CHATTANOOGA,TN,37402,NOL,IGSA,3,0
GILA COUNTY JUVENILE DET CENTER,GLOBE,AZ,85501,PHO,DRO JUV,2,0
LUBBOCK COUNTY JAIL,LUBBOCK,TX,79408,DAL,IGSA,2,17
WASHINGTON COUNTY JAIL,SALEM,NY,12865,BUF,IGSA,1,0
NORTHERN OREGON JUV.DET.,THE DALLES,OR,97058,SEA,DRO JUV,1,0
PENNINGTON COUNTY JAIL SD,RAPID CITY,SD,57701,SPM,IGSA,0,0
CONEJOS COUNTY JAIL,CONEJOS,CO,81129,DEN,IGSA,1,0
GRANT COUNTY,EPHRATA,WA,98823,SEA,IGSA,0,0
SOUTHWEST INITIATIVES GROUP LLC,NIXON,TX,78140,SNA,ORR,52,199
WASHOE COUNTY JAIL,RENO,NV,89506,SLC,IGSA,9,40
AIRPORT DDP,ISLA VERDE,PR,97600,MIA,OTHER,8,38
JEFFERSON COUNTY JAIL,GOLDEN,CO,80401,DEN,IGSA,5,29
MERCER COUNTY JAIL,TRENTON,NJ,86500,NEW,IGSA,3,0
NH STATE PRISON,CONCORD,NH,33010,BOS,IGSA,2,0
STATE COR CTR ANNEX ANCHO,ANCHORAGE,AK,99501,SEA,IGSA,2,0
JACKSON CO JAIL,MEDFORD,OR,97501,SEA,IGSA,1,0
NIAGARA COUNTY JAIL,LOCKPORT,NY,14094,BUF,IGSA,1,0
GRANT COUNTY JAIL,CANYON CITY,OR,97820,SEA,IGSA,1,0
SUNNYSIDE JAIL,SUNNYSIDE,WA,98944,SEA,IGSA,0,0
PHOENIX DIST OFFICE,PHOENIX,AZ,85004,PHO,OTHER,0,0
YAKIMA COUNTY,YAKIMA,WA,98901,SEA,IGSA,0,0
CATHOLIC SOC SVCS RFC,PHOENIX,AZ,85021,PHO,IGSA,7,14
ROCHESTER FED.MED.CENTER,ROCHESTER,MN,55903,SPM,BOP,3,0
MONROE COUNTY JAIL,ROCHESTER,NY,14814,BUF,IGSA,2,0
TERRE HAUTE USP,TERRE HAUTE,IN,47808,CHI,BOP,2,0
ATLANTA DIST. HOLD RM,ATLANTA,GA,30303,ATL,OTHER,2,68
US MARSHALS MID.DIST,ORLANDO,FL,32801,MIA,IGSA,2,0
